ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,64
cassandra-schema,0,0,0,-1,64
compose-post-service,0,0,0,1,64
home-timeline-redis,1,0,0,0,64
home-timeline-service,1,0,0,1,64
jaeger-agent,2,0,0,0,64
jaeger-collector,2,0,0,1,64
jaeger-query,3,0,0,0,64
media-frontend,3,0,0,1,64
media-memcached,4,0,0,0,64
media-mongodb,4,0,0,1,64
media-service,5,0,0,0,64
nginx-web-server,5,0,0,1,64
post-storage-memcached,6,0,0,0,64
post-storage-mongodb,6,0,0,1,64
post-storage-service,7,0,0,0,64
social-graph-mongodb,7,0,0,1,64
social-graph-redis,8,0,0,0,64
social-graph-service,8,0,0,1,64
text-service,9,0,0,0,64
unique-id-service,9,0,0,1,64
url-shorten-memcached,10,0,0,0,64
url-shorten-mongodb,10,0,0,1,64
url-shorten-service,11,0,0,0,64
user-memcached,11,0,0,1,64
user-mention-service,15,0,0,0,64
user-mongodb,12,0,0,1,64
user-service,13,0,0,0,64
user-timeline-mongodb,13,0,0,1,64
user-timeline-redis,14,0,0,0,64
user-timeline-service,14,0,0,1,64
