ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,64g,0,32
cassandra-schema,0,0,64g,-1,32
compose-post-service,0,0,64g,0,32
home-timeline-redis,0,0,64g,1,32
home-timeline-service,0,0,64g,1,32
jaeger-agent,1,0,64g,0,32
jaeger-collector,1,0,64g,0,32
jaeger-query,1,0,64g,1,32
media-frontend,1,0,64g,1,32
media-memcached,2,0,64g,0,32
media-mongodb,2,0,64g,0,32
media-service,2,0,64g,1,32
nginx-web-server,2,0,64g,1,32
post-storage-memcached,3,0,64g,0,32
post-storage-mongodb,3,0,64g,0,32
post-storage-service,3,0,64g,1,32
social-graph-mongodb,3,0,64g,1,32
social-graph-redis,4,0,64g,0,32
social-graph-service,15,0,64g,0,32
text-service,4,0,64g,1,32
unique-id-service,4,0,64g,1,32
url-shorten-memcached,5,0,64g,0,32
url-shorten-mongodb,5,0,64g,0,32
url-shorten-service,5,0,64g,1,32
user-memcached,5,0,64g,1,32
user-mention-service,6,0,64g,0,32
user-mongodb,6,0,64g,0,32
user-service,6,0,64g,1,32
user-timeline-mongodb,7,0,64g,0,32
user-timeline-redis,7,0,64g,0,32
user-timeline-service,7,0,64g,1,32
