ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,2
cassandra-schema,0,0,0,-1,2
compose-post-service,0,0,0,0,2
home-timeline-redis,0,0,0,0,2
home-timeline-service,0,0,0,0,2
jaeger-agent,0,0,0,0,2
jaeger-collector,0,0,0,0,2
jaeger-query,0,0,0,0,2
media-frontend,0,0,0,0,2
media-memcached,0,0,0,0,2
media-mongodb,0,0,0,0,2
media-service,0,0,0,0,2
nginx-web-server,0,0,0,0,2
post-storage-memcached,0,0,0,0,2
post-storage-mongodb,0,0,0,0,2
post-storage-service,0,0,0,0,2
social-graph-mongodb,0,0,0,1,2
social-graph-redis,0,0,0,1,2
social-graph-service,0,0,0,1,2
text-service,0,0,0,1,2
unique-id-service,0,0,0,1,2
url-shorten-memcached,0,0,0,1,2
url-shorten-mongodb,0,0,0,1,2
url-shorten-service,0,0,0,1,2
user-memcached,0,0,0,1,2
user-mention-service,0,0,0,1,2
user-mongodb,0,0,0,1,2
user-service,0,0,0,1,2
user-timeline-mongodb,0,0,0,1,2
user-timeline-redis,0,0,0,1,2
user-timeline-service,0,0,0,1,2
