ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,256g,0,8
cassandra-schema,0,0,256g,-1,8
compose-post-service,0,0,256g,0,8
home-timeline-redis,0,0,256g,0,8
home-timeline-service,0,0,256g,0,8
jaeger-agent,0,0,256g,0,8
jaeger-collector,0,0,256g,0,8
jaeger-query,0,0,256g,0,8
media-frontend,0,0,256g,1,8
media-memcached,0,0,256g,1,8
media-mongodb,0,0,256g,1,8
media-service,0,0,256g,1,8
nginx-web-server,0,0,256g,1,8
post-storage-memcached,0,0,256g,1,8
post-storage-mongodb,0,0,256g,1,8
post-storage-service,0,0,256g,1,8
social-graph-mongodb,1,0,256g,0,8
social-graph-redis,1,0,256g,0,8
social-graph-service,1,0,256g,0,8
text-service,1,0,256g,0,8
unique-id-service,1,0,256g,0,8
url-shorten-memcached,1,0,256g,0,8
url-shorten-mongodb,1,0,256g,0,8
url-shorten-service,1,0,256g,1,8
user-memcached,1,0,256g,1,8
user-mention-service,1,0,256g,1,8
user-mongodb,1,0,256g,1,8
user-service,1,0,256g,1,8
user-timeline-mongodb,1,0,256g,1,8
user-timeline-redis,1,0,256g,1,8
user-timeline-service,1,0,256g,1,8
