ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,8,0,0,0,8
cassandra-schema,8,0,0,-1,8
compose-post-service,8,0,0,0,8
home-timeline-redis,8,0,0,0,8
home-timeline-service,8,0,0,0,8
jaeger-agent,8,0,0,0,8
jaeger-collector,8,0,0,0,8
jaeger-query,8,0,0,0,8
media-frontend,8,0,0,1,8
media-memcached,8,0,0,1,8
media-mongodb,8,0,0,1,8
media-service,8,0,0,1,8
nginx-web-server,8,0,0,1,8
post-storage-memcached,8,0,0,1,8
post-storage-mongodb,8,0,0,1,8
post-storage-service,8,0,0,1,8
social-graph-mongodb,9,0,0,0,8
social-graph-redis,9,0,0,0,8
social-graph-service,9,0,0,0,8
text-service,9,0,0,0,8
unique-id-service,9,0,0,0,8
url-shorten-memcached,9,0,0,0,8
url-shorten-mongodb,9,0,0,0,8
url-shorten-service,9,0,0,1,8
user-memcached,9,0,0,1,8
user-mention-service,9,0,0,1,8
user-mongodb,9,0,0,1,8
user-service,9,0,0,1,8
user-timeline-mongodb,9,0,0,1,8
user-timeline-redis,9,0,0,1,8
user-timeline-service,9,0,0,1,8
