ServiceName,Node,CPUs,Memory
cassandra,0,0,0
cassandra-schema,1,0,0
compose-post-service,2,0,0
home-timeline-redis,3,0,0
home-timeline-service,4,0,0
jaeger-agent,5,0,0
jaeger-collector,6,0,0
jaeger-query,7,0,0
media-frontend,8,0,0
media-memcached,9,0,0
media-mongodb,10,0,0
media-service,11,0,0
nginx-web-server,12,0,0
post-storage-memcached,13,0,0
post-storage-mongodb,14,0,0
post-storage-service,15,0,0
social-graph-mongodb,16,0,0
social-graph-redis,17,0,0
social-graph-service,18,0,0
text-service,19,0,0
unique-id-service,0,0,0
url-shorten-memcached,2,0,0
url-shorten-mongodb,3,0,0
url-shorten-service,4,0,0
user-memcached,5,0,0
user-mention-service,6,0,0
user-mongodb,7,0,0
user-service,8,0,0
user-timeline-mongodb,9,0,0
user-timeline-redis,10,0,0
user-timeline-service,11,0,0
