ServiceName,Node,CPUs,Memory
cassandra,,0,0
cassandra-schema,,0,0
compose-post-service,,0,0
home-timeline-redis,,0,0
home-timeline-service,,0,0
jaeger-agent,,0,0
jaeger-collector,,0,0
jaeger-query,,0,0
media-frontend,,0,0
media-memcached,,0,0
media-mongodb,,0,0
media-service,,0,0
nginx-web-server,,0,0
post-storage-memcached,,0,0
post-storage-mongodb,,0,0
post-storage-service,,0,0
social-graph-mongodb,,0,0
social-graph-redis,,0,0
social-graph-service,,0,0
text-service,,0,0
unique-id-service,,0,0
url-shorten-memcached,,0,0
url-shorten-mongodb,,0,0
url-shorten-service,,0,0
user-memcached,,0,0
user-mention-service,,0,0
user-mongodb,,0,0
user-service,,0,0
user-timeline-mongodb,,0,0
user-timeline-redis,,0,0
user-timeline-service,,0,0
