ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,16
cassandra-schema,0,0,0,-1,16
compose-post-service,0,0,0,0,16
home-timeline-redis,0,0,0,0,16
home-timeline-service,0,0,0,0,16
jaeger-agent,0,0,0,1,16
jaeger-collector,0,0,0,1,16
jaeger-query,0,0,0,1,16
media-frontend,0,0,0,1,16
media-memcached,1,0,0,0,16
media-mongodb,1,0,0,0,16
media-service,1,0,0,0,16
nginx-web-server,1,0,0,0,16
post-storage-memcached,1,0,0,1,16
post-storage-mongodb,1,0,0,1,16
post-storage-service,1,0,0,1,16
social-graph-mongodb,2,0,0,0,16
social-graph-redis,2,0,0,0,16
social-graph-service,2,0,0,0,16
text-service,2,0,0,0,16
unique-id-service,2,0,0,1,16
url-shorten-memcached,2,0,0,1,16
url-shorten-mongodb,2,0,0,1,16
url-shorten-service,2,0,0,1,16
user-memcached,3,0,0,0,16
user-mention-service,3,0,0,0,16
user-mongodb,3,0,0,0,16
user-service,3,0,0,0,16
user-timeline-mongodb,3,0,0,1,16
user-timeline-redis,3,0,0,1,16
user-timeline-service,3,0,0,1,16
