ServiceName,Node,CPUs,Memory,Socket
cassandra,0,0,0,0
cassandra-schema,0,0,0,-1
compose-post-service,0,0,0,0
home-timeline-redis,0,0,0,0
home-timeline-service,0,0,0,0
jaeger-agent,0,0,0,0
jaeger-collector,0,0,0,0
jaeger-query,1,0,0,0
media-frontend,1,0,0,0
media-memcached,1,0,0,0
media-mongodb,1,0,0,0
media-service,1,0,0,0
nginx-web-server,1,0,0,0
post-storage-memcached,2,0,0,0
post-storage-mongodb,2,0,0,0
post-storage-service,2,0,0,0
social-graph-mongodb,2,0,0,0
social-graph-redis,2,0,0,0
social-graph-service,2,0,0,0
text-service,3,0,0,0
unique-id-service,3,0,0,0
url-shorten-memcached,3,0,0,0
url-shorten-mongodb,3,0,0,0
url-shorten-service,3,0,0,0
user-memcached,3,0,0,0
user-mention-service,4,0,0,0
user-mongodb,4,0,0,0
user-service,4,0,0,0
user-timeline-mongodb,4,0,0,0
user-timeline-redis,4,0,0,0
user-timeline-service,4,0,0,0
