ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,2
cassandra-schema,0,0,0,-1,-1
compose-post-service,0,0,0,0,2
home-timeline-redis,0,0,0,0,2
home-timeline-service,0,0,0,0,2
jaeger-agent,0,0,0,0,2
jaeger-collector,0,0,0,0,2
jaeger-query,1,0,0,0,2
media-frontend,1,0,0,0,2
media-memcached,1,0,0,0,2
media-mongodb,1,0,0,0,2
media-service,1,0,0,0,2
nginx-web-server,1,0,0,0,2
post-storage-memcached,2,0,0,0,2
post-storage-mongodb,2,0,0,0,2
post-storage-service,2,0,0,0,2
social-graph-mongodb,2,0,0,0,2
social-graph-redis,2,0,0,0,2
social-graph-service,2,0,0,0,2
text-service,3,0,0,0,2
unique-id-service,3,0,0,0,2
url-shorten-memcached,3,0,0,0,2
url-shorten-mongodb,3,0,0,0,2
url-shorten-service,3,0,0,0,2
user-memcached,3,0,0,0,2
user-mention-service,4,0,0,0,2
user-mongodb,4,0,0,0,2
user-service,4,0,0,0,2
user-timeline-mongodb,4,0,0,0,2
user-timeline-redis,4,0,0,0,2
user-timeline-service,4,0,0,0,2
