ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,16g,0,5
cassandra-schema,0,0,16g,-1,5
compose-post-service,0,0,16g,0,5
home-timeline-redis,0,0,16g,0,5
home-timeline-service,0,0,16g,0,5
jaeger-agent,1,0,16g,0,5
jaeger-collector,1,0,16g,0,5
jaeger-query,1,0,16g,0,5
media-frontend,1,0,16g,0,5
media-memcached,2,0,16g,0,5
media-mongodb,2,0,16g,0,5
media-service,2,0,16g,0,5
nginx-web-server,2,0,16g,0,5
post-storage-memcached,3,0,16g,0,5
post-storage-mongodb,3,0,16g,0,5
post-storage-service,3,0,16g,0,5
social-graph-mongodb,3,0,16g,0,5
social-graph-redis,4,0,16g,0,5
social-graph-service,4,0,16g,0,5
text-service,4,0,16g,0,5
unique-id-service,4,0,16g,0,5
url-shorten-memcached,5,0,16g,0,5
url-shorten-mongodb,5,0,16g,0,5
url-shorten-service,5,0,16g,0,5
user-memcached,5,0,16g,0,5
user-mention-service,6,0,16g,0,5
user-mongodb,6,0,16g,0,5
user-service,6,0,16g,0,5
user-timeline-mongodb,7,0,16g,0,5
user-timeline-redis,7,0,16g,0,5
user-timeline-service,7,0,16g,0,5
